ssid,distid,schlid,disability_code,gndr,ethnic_cd,rit,lat,lon
142,2142,755,60,M,I,206.044,44.983297,-122.971935
143,2187,2187,82,F,H,193.572,NA,NA
144,2180,889,10,F,W,230.528,45.600023,-122.758379
145,2239,3160,82,M,W,201.704,45.528411,-122.907577
146,2182,1365,0,M,W,195.345,45.529089,-122.44072600000001
147,2243,1176,10,M,H,204.619,45.533135,-122.82003200000001
148,2097,620,10,F,W,206.044,44.935392,-124.017245
149,1926,1926,82,M,W,216.205,NA,NA
150,2242,1139,82,M,H,162.398,45.412931,-122.77368000000001
151,2042,382,70,M,W,204.619,42.371608,-122.91262800000001
152,2182,950,90,M,H,227.733,45.516147000000004,-122.382429
153,2239,1285,0,M,H,200.196,45.543783000000005,-122.98149400000001
154,4131,1098,82,M,W,203.175,45.586618,-121.173169
155,2054,2054,10,M,W,219.488,NA,NA
156,2243,1176,70,M,M,204.619,45.533135,-122.82003200000001
157,2183,935,82,F,W,233.96,45.514058,-122.427733
158,1902,1902,10,M,W,204.619,NA,NA
159,2048,408,82,F,H,193.572,42.294366000000004,-122.907436
160,2048,416,80,F,W,185.06,42.358679,-122.851555
161,2243,1270,10,F,W,210.289,45.459412,-122.83754200000001
162,2046,406,10,F,P,200.196,42.54122,-122.56482100000001
163,2182,949,82,M,M,198.642,45.523472,-122.462164
164,2241,1133,10,F,H,213.177,45.51605,-123.092421
165,1965,196,80,M,W,201.704,43.387768,-124.272878
166,2096,609,80,M,W,230.528,43.986129,-124.10453500000001
167,1991,270,82,M,W,211.721,43.215612,-123.36528100000001
168,2142,746,10,F,H,198.642,44.995971000000004,-123.007664
169,2180,835,82,F,W,197.029,45.491757,-122.72431800000001
170,2182,3989,50,M,H,221.278,45.529652,-122.45266500000001
171,2082,515,70,M,H,149.647,44.087485,-123.139356
172,2141,724,10,F,W,203.175,45.212484,-122.797103
173,2239,4642,90,F,W,233.96,45.524129,-122.97730200000001
174,2048,412,10,M,W,204.619,42.317381000000005,-122.95853000000001
175,2082,515,80,M,H,213.177,44.087485,-123.139356
176,1997,299,10,F,M,149.647,43.601240000000004,-123.285976
177,2254,1216,82,F,W,200.196,45.280494000000004,-123.01029600000001
178,2243,1155,10,M,W,200.196,45.50441,-122.852956
179,1991,276,82,M,H,203.175,43.154051,-123.38835
180,2182,950,82,M,W,223.211,45.516147000000004,-122.382429
181,2204,1032,80,M,W,208.871,45.919450000000005,-119.295191
182,2239,4703,74,M,W,221.278,45.491401,-122.914765
183,2142,736,80,F,H,201.704,44.945641,-123.011249
184,2082,529,82,M,M,207.459,44.114631,-123.144181
185,1924,4762,80,M,B,246.041,45.457743,-122.625077
186,2241,1132,82,M,H,149.647,45.526816000000004,-123.116336
187,2239,4643,10,F,A,149.647,45.53268,-122.90877300000001
188,2239,4703,10,F,W,210.289,45.491401,-122.914765
189,2088,583,80,F,W,210.289,44.076772,-123.179878
190,2239,1147,10,M,M,149.647,45.487117000000005,-122.88689500000001
191,2146,1267,60,M,W,221.278,45.151540000000004,-122.86002
192,2054,2054,82,M,H,193.572,NA,NA
193,2096,609,10,M,W,201.704,43.986129,-124.10453500000001
194,2048,409,82,M,W,197.029,42.320475,-122.839121
195,2042,386,10,M,W,200.196,42.493545000000005,-122.935799
196,2054,2054,82,M,W,219.488,NA,NA
197,2048,408,10,F,W,208.871,42.294366000000004,-122.907436
198,1924,65,80,M,W,170.336,45.409389000000004,-122.58910800000001
199,2183,935,82,M,W,230.528,45.514058,-122.427733
200,1930,1930,10,M,W,221.278,NA,NA
201,2054,2054,82,M,H,213.177,NA,NA
202,2100,4744,82,M,W,198.642,44.647086,-123.041081
203,1933,147,82,F,W,223.211,46.147615,-123.842087
204,2180,854,10,F,W,233.96,45.491167000000004,-122.633255
205,2243,1155,10,M,W,225.337,45.50441,-122.852956
206,2142,761,10,F,W,214.667,44.877841000000004,-123.04796700000001
207,2146,796,10,M,W,191.689,45.145566,-122.86876900000001
208,2239,3159,10,F,W,197.029,45.546186,-122.99262200000001
209,2245,1194,10,F,W,210.289,45.434556,-123.14251800000001
210,2182,949,10,M,W,201.704,45.523472,-122.462164
211,2187,978,82,M,W,221.278,45.521381000000005,-122.543896
212,2096,609,10,F,W,225.337,43.986129,-124.10453500000001
213,1923,1288,82,M,W,198.642,45.427154,-122.729476
214,2243,2781,10,F,H,201.704,45.430457000000004,-122.84515700000001
215,2100,4744,50,M,A,223.211,44.647086,-123.041081
216,2082,515,82,M,I,187.477,44.087485,-123.139356
217,2100,4744,10,F,W,203.175,44.647086,-123.041081
218,2048,411,82,M,W,195.345,42.33167,-122.88731100000001
219,2142,749,80,M,B,225.337,44.887069000000004,-123.06171400000001
220,2142,736,80,F,W,198.642,44.945641,-123.011249
221,2142,3529,50,M,H,210.289,45.033866,-123.01992800000001
222,2048,413,10,F,W,225.337,42.308571,-122.869415
223,2082,534,10,F,H,200.196,44.071188,-123.09996100000001
224,2048,409,80,F,W,179.188,42.320475,-122.839121
